age;mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;game_score;player
31-061;36:49:00;14;22;.636;2;4;.500;3;5;.600;0;5;5;4;2;0;5;33;22.9;1
31-065;30:23:00;7;18;.389;1;4;.250;4;4;1.000;1;12;13;8;3;0;1;19;20.7;1
31-066;36:00:00;11;20;.550;1;4;.250;5;9;.556;4;7;11;8;2;1;4;28;25.2;1
31-068;37:38:00;11;19;.579;2;4;.500;4;5;.800;2;7;9;5;1;0;4;28;21.9;1
31-070;36:33:00;8;19;.421;1;5;.200;8;9;.889;4;7;11;6;0;0;5;25;18.2;1
31-071;34:50:00;9;18;.500;1;4;.250;5;8;.625;2;3;5;7;0;2;3;24;18.6;1
31-074;30:43:00;9;15;.600;3;4;.750;6;7;.857;1;5;6;5;1;0;2;27;23.6;1
31-075;36:53:00;10;20;.500;2;6;.333;1;2;.500;6;6;12;3;1;0;3;23;18.7;1
31-079;35:44:00;6;15;.400;0;3;.000;6;6;1.000;1;6;7;8;1;1;4;18;14.5;1
31-080;26:38:00;13;20;.650;0;3;.000;0;0;;0;3;3;3;1;0;3;26;17.8;1
31-082;33:26:00;12;19;.632;1;2;.500;8;11;.727;3;8;11;11;0;0;3;33;31.7;1
31-084;36:55:00;9;22;.409;1;4;.250;7;10;.700;5;1;6;8;2;1;2;26;23.1;1
31-085;35:04:00;13;16;.813;1;2;.500;3;4;.750;1;5;6;5;1;0;4;30;25.5;1
31-087;35:46:00;10;21;.476;2;3;.667;5;6;.833;3;8;11;11;1;2;2;27;26.9;1
31-092;30:40:00;8;11;.727;0;0;;8;10;.800;0;4;4;11;2;1;6;24;24.3;1
31-093;44:25:00;12;26;.462;1;5;.200;4;5;.800;3;13;16;9;3;1;3;29;26.6;1
31-095;40:50:00;14;22;.636;0;0;;3;3;1.000;3;5;8;12;2;0;5;31;28.6;1
31-097;28:04:00;7;9;.778;1;2;.500;2;2;1.000;0;5;5;9;0;1;4;17;18.0;1
31-101;38:33:00;13;17;.765;4;5;.800;3;4;.750;3;4;7;3;0;1;4;33;27.6;1
31-103;32:25:00;13;16;.813;3;4;.750;5;5;1.000;1;5;6;6;2;1;4;34;32.3;1
31-300;32:23:00;9;14;.643;0;3;.000;1;2;.500;3;8;11;14;0;1;4;19;22.2;1
31-303;38:40:00;7;16;.438;2;6;.333;5;7;.714;2;6;8;7;0;0;5;21;14.1;1
31-304;39:00:00;7;16;.438;2;6;.333;7;11;.636;1;5;6;9;1;1;2;23;20.4;1
31-307;35:51:00;6;12;.500;1;3;.333;6;10;.600;3;10;13;8;0;0;4;19;16.5;1
31-309;36:22:00;12;22;.545;1;4;.250;5;5;1.000;1;6;7;12;1;0;2;30;28.5;1
31-311;35:52:00;9;23;.391;1;5;.200;6;7;.857;1;7;8;14;2;1;5;25;22.0;1
31-314;36:52:00;8;17;.471;2;5;.400;5;5;1.000;2;7;9;5;3;0;1;23;22.1;1
31-317;38:06:00;9;18;.500;3;4;.750;6;9;.667;0;10;10;5;2;2;6;27;20.3;1
31-319;38:42:00;8;21;.381;2;5;.400;1;2;.500;0;8;8;8;1;1;3;19;13.8;1
31-321;38:04:00;10;15;.667;2;5;.400;6;10;.600;0;9;9;15;1;0;5;28;28.3;1
