mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;player
35:00:00;7;22;.318;0;0;;6;7;.857;8;3;11;3;3;2;6;20;0
43:00:00;13;27;.481;1;1;1;9;10;.900;3;3;6;9;1;0;5;36;0
44:00:00;15;33;.455;1;3;.333;4;5;.800;2;3;5;6;3;0;5;35;0
39:00:00;13;28;.464;0;0;;11;12;.917;0;3;3;5;4;0;0;37;0
44:00:00;10;27;.370;0;0;;9;9;1;1;7;8;8;2;0;3;29;0
34:00:00;16;27;.593;6;10;.600;1;1;1;2;1;3;11;2;0;1;39;0
50:00:00;16;32;.500;0;4;.000;7;9;.778;1;4;5;10;1;0;5;39;0
41:00:00;11;22;.500;0;1;.000;4;4;1;2;5;7;4;3;0;5;26;0
44:00:00;11;26;.423;2;6;.333;8;8;1;0;5;5;6;0;0;5;32;0
42:00:00;14;23;.609;2;4;.500;16;19;.842;0;5;5;4;0;1;4;46;0
43:00:00;13;24;.542;2;3;.667;5;5;1;1;3;4;4;4;1;4;33;0
29:00:00;15;26;.577;2;4;.500;3;4;.750;3;4;7;5;0;0;0;35;0
38:00:00;10;24;.417;2;4;.500;7;8;.875;0;6;6;4;3;4;0;29;0
40:00:00;16;28;.571;2;5;.400;5;5;1;0;7;7;4;2;1;4;39;0
42:00:00;16;30;.533;0;4;.000;11;11;1;0;0;0;4;3;1;3;43;0
31:00:00;8;18;.444;0;2;.000;2;5;.400;2;3;5;6;2;0;2;18;0
40:00:00;12;24;.500;0;1;.000;8;10;.800;2;4;6;5;2;0;2;32;0
40:00:00;11;24;.458;2;2;1;7;9;.778;3;6;9;6;2;1;4;31;0
43:00:00;10;27;.370;2;4;.500;5;6;.833;1;1;2;5;4;0;1;27;0
39:00:00;12;32;.375;1;7;.143;11;13;.846;3;6;9;1;2;0;3;36;0
38:00:00;3;18;.167;0;0;;16;17;.941;1;7;8;11;2;2;2;22;0
39:00:00;18;30;.600;6;9;.667;12;14;.857;0;6;6;2;2;1;2;54;0
45:00:00;11;24;.458;0;1;.000;7;9;.778;2;8;10;14;2;1;5;29;0
45:00:00;8;24;.333;1;4;.250;8;9;.889;0;2;2;9;3;2;1;25;0
43:00:00;14;28;.500;0;1;.000;3;4;.750;2;5;7;5;5;1;2;31;0
